,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
04-03,0.7,0.49,20.71,50.24,,,360.23,710.41,480.8,100.7,,,790.05,740.83,650.35,480.86,,1200.74,2100.96,1930.5,1750.5,,
04-04,0.76,0.49,20.75,50.23,,80.65,350.98,720.48,480.57,,,740.32,770.52,740.56,660.6,,760.26,1230.42,2110.66,1940.9,,,1730.45
04-05,0.71,0.51,20.75,,70.75,80.71,360.61,750.49,,,670.38,730.56,780.57,730.31,,,750.13,1240.71,2180.73,1980.59,,2690.65,1590.99
04-06,0.73,0.5,,,70.49,80.76,360.41,790.71,,100.86,670.36,740.2,770.52,,,500.62,760.1,1250.0,2200.6,,1790.88,2650.1,1490.79
04-07,0.71,,,50.41,70.76,80.83,360.62,,490.99,100.84,650.86,730.48,,,640.0,510.35,760.8,1220.59,,,1830.74,2650.14,1520.7
04-08,,,20.74,50.37,70.85,80.78,,,480.85,110.11,640.51,740.7,,720.9,640.24,500.7,780.75,,,2010.61,1850.17,2660.88,1480.99
04-09,,0.51,20.8,50.39,80.0,,,810.59,490.52,110.81,670.05,,770.4,730.85,650.0,510.8,,,1890.71,2050.7,1860.6,2650.32,
04-10,0.77,0.52,20.9,50.4,,,390.6,810.78,480.92,110.85,,,770.86,730.87,670.17,510.97,,1170.35,1830.64,2060.4,1850.34,,
04-11,0.73,0.54,20.8,50.36,,80.68,380.69,810.49,470.32,,,740.7,780.68,720.69,670.21,,810.85,1170.48,1830.57,2030.0,,,1430.58
04-12,0.76,0.54,20.71,,80.06,80.71,390.14,790.57,,,670.03,710.96,780.13,690.51,,,810.92,1130.29,1880.91,2040.81,,2660.97,1390.5
04-13,0.76,0.57,,,70.82,80.99,380.61,810.54,,110.64,690.87,720.95,750.53,,,530.5,820.45,1130.28,1850.51,,1810.4,2670.9,1390.99
04-14,0.77,,,50.34,70.69,80.9,380.83,,470.11,120.52,690.66,730.05,,,640.98,530.95,810.2,1110.04,,,1800.36,2710.5,1330.0
04-15,,,20.7,50.35,70.7,80.94,,,460.97,120.36,680.4,720.93,,670.54,600.11,540.41,800.84,,,2040.95,1720.0,2680.71,1320.9
04-16,,0.56,20.75,50.36,70.54,,,810.59,480.28,130.13,660.25,,730.6,670.63,610.63,540.5,,,1740.77,2020.7,1720.16,2740.55,
04-17,0.71,0.57,20.8,50.33,,,390.06,800.6,470.1,120.99,,,720.16,670.91,610.42,500.11,,1150.51,1800.56,2030.1,1740.1,,
04-18,0.71,0.62,20.84,50.34,,80.65,390.13,780.7,480.64,,,670.98,710.21,680.48,620.36,,810.07,1130.7,1890.86,2000.6,,,1280.55
04-19,0.7,0.61,20.85,,70.55,80.79,380.92,770.25,,,630.96,680.66,720.72,700.19,,,820.8,1120.9,1930.97,2020.15,,2730.63,1250.5
04-20,0.71,0.59,,,70.65,80.76,380.63,790.45,,110.95,640.32,690.54,740.21,,,490.29,830.88,1170.4,1880.6,,1710.37,2720.5,1250.05
04-21,0.73,,,50.34,70.49,80.8,380.5,,470.86,110.95,630.25,680.9,,,610.43,500.69,820.95,1200.08,,,1670.65,2740.2,1230.12
04-22,,,20.85,50.25,70.44,80.9,,,470.44,120.69,600.44,690.26,,690.84,600.06,490.47,840.08,,,2040.75,1710.9,2760.5,1230.27
04-23,,0.59,20.92,50.33,70.39,,,790.49,470.26,130.15,600.84,,720.25,700.34,590.8,500.44,,,1900.25,2050.88,1720.64,2780.8,
04-24,0.7,0.6,30.2,50.61,,,380.48,780.57,470.51,120.89,,,710.3,700.64,580.45,500.88,,1230.49,1990.68,2050.49,1710.46,,
04-25,0.72,0.6,30.37,50.83,,80.88,380.7,790.43,470.65,,,680.03,700.98,700.74,560.99,,820.85,1230.88,1950.13,2000.47,,,1180.51
04-26,0.74,0.61,30.29,,70.43,80.9,400.51,780.45,,,610.05,680.27,690.1,700.43,,,820.37,1250.6,1930.29,1970.22,,2820.2,1250.45
04-27,0.73,0.62,,,70.58,80.9,390.89,750.81,,120.84,580.87,670.22,680.47,,,510.22,830.09,1240.71,1950.45,,1720.43,2830.2,1340.0
04-28,0.76,,,50.95,70.54,80.94,400.59,,470.58,120.65,570.39,670.35,,,590.21,500.39,830.91,1250.82,1940.98,,1760.12,2830.8,1260.5
04-29,,,30.29,60.0,70.01,80.9,,,470.93,140.45,590.54,670.16,,690.84,590.2,490.71,840.0,,,2010.29,1770.5,2820.74,1300.4
04-30,,0.61,30.25,50.86,70.0,,,760.72,470.91,150.36,580.62,,680.69,720.12,600.16,500.0,,,1950.85,1980.39,1770.2,2830.4,
05-01,0.76,0.61,30.25,50.86,,,400.59,760.72,470.91,150.36,,,680.69,720.12,600.16,500.0,,1250.82,,,,,
05-02,0.76,0.61,30.25,50.86,,80.9,420.35,770.45,470.91,,,670.16,680.32,720.09,590.62,,840.0,1280.58,1970.04,2000.15,,,
05-03,0.75,0.61,30.25,,70.0,90.01,410.5,770.75,,,580.62,650.67,700.0,720.86,,,840.0,1270.25,1980.3,2030.07,,,
05-04,0.74,0.59,,,70.0,90.16,420.07,770.92,,180.9,560.11,650.32,670.52,,,500.0,820.08,1260.7,1950.25,,1760.34,2870.07,1240.8
05-05,0.74,,,50.55,60.98,90.22,410.97,,500.22,180.99,550.77,650.48,,,590.25,520.0,820.5,1280.2,,,1780.49,2890.54,1250.47
05-06,,,30.26,50.75,60.91,90.15,,,490.66,180.41,570.06,670.79,,730.38,600.66,520.28,820.78,,,2030.0,1810.0,2930.45,1240.2
05-07,,0.6,30.05,50.68,60.68,,,770.92,510.21,190.04,540.42,,670.41,740.81,650.54,500.72,,,1960.58,2020.97,1800.02,2980.1,
05-08,0.75,0.6,30.25,50.62,,,420.12,780.56,510.16,190.05,,,670.79,750.84,650.75,500.79,,1280.2,1940.78,2020.9,1790.79,,
05-09,0.75,0.6,30.25,50.62,,90.15,420.12,780.56,510.16,,,670.79,670.79,750.84,650.75,,820.78,1280.2,,,,,
05-10,0.75,0.6,30.25,,60.68,90.15,410.53,780.13,,,540.42,680.25,680.92,750.38,,,820.25,1300.0,1970.22,1990.01,,2990.09,
05-11,0.73,0.59,,,60.44,80.95,390.46,750.61,,190.05,560.68,660.95,680.45,,,500.79,840.0,1270.85,2020.46,,,2860.67,1210.11
05-12,0.71,,,50.78,60.9,80.95,380.67,,530.55,180.7,600.39,660.72,,,670.19,490.43,830.08,1270.3,,,1770.9,2810.65,1160.6
05-13,,,30.39,50.6,70.16,90.02,,,540.33,170.34,590.88,670.22,,750.73,690.11,500.0,830.1,,,1980.89,1740.62,2830.74,1160.7
05-14,,0.59,30.39,50.6,70.06,,,750.11,550.11,170.49,570.85,,650.39,750.68,670.5,500.3,,,2020.1,2010.0,1720.63,2810.36,
05-15,0.71,0.59,30.33,50.7,,,350.88,730.8,550.06,170.82,,,660.58,750.24,660.5,500.36,,1310.2,2000.52,2010.3,1720.28,,
05-16,0.71,0.58,30.34,50.7,,80.93,360.84,750.15,560.05,,,660.59,650.22,740.99,670.1,,830.72,1310.33,1980.65,2000.52,,,1190.84
05-17,0.66,0.61,30.38,,70.15,90.1,350.56,740.14,,,570.55,650.65,600.02,760.19,,,830.83,1310.35,1980.7,1990.23,,2800.18,1230.8
05-18,0.65,0.61,,,70.21,90.08,340.33,750.02,,180.29,580.66,660.12,590.33,,,500.45,840.05,1280.93,1970.48,,1770.14,2820.05,1220.33
05-19,0.6,,,50.75,70.18,90.05,340.25,,570.59,190.0,560.35,660.6,,,680.34,490.68,820.07,1310.1,,,1740.59,2780.34,1220.81
05-20,,,30.55,50.68,70.38,80.98,,,560.68,190.78,530.71,650.06,,770.26,670.28,480.95,820.92,,,1990.0,1770.88,2780.49,1190.94
05-21,,0.61,30.58,50.71,70.4,,,750.32,570.24,190.83,530.0,,610.63,780.18,670.84,490.66,,,1970.47,2020.65,1760.79,2820.7,
05-22,0.57,0.6,30.57,50.73,,,300.69,730.97,550.84,220.56,,,610.64,790.7,670.0,490.3,,1310.98,1960.88,2040.43,1760.66,,
05-23,0.5,0.63,30.58,50.83,,90.01,330.97,710.3,560.21,,,620.88,570.89,760.51,680.83,,820.6,1320.04,1950.0,2000.9,,,1170.05
05-24,0.48,0.62,30.48,,70.37,90.14,330.2,690.29,,,530.54,640.42,590.25,750.78,,,830.43,1330.0,1960.2,2050.59,,2800.76,1180.74
05-25,0.5,0.63,,,70.25,90.08,350.23,690.08,,240.81,500.74,650.34,590.06,,,490.05,840.9,1300.7,1960.16,,1760.8,2860.2,1150.99
05-26,0.55,,,50.9,70.3,90.06,350.79,,540.91,240.19,530.72,640.46,,,700.6,480.97,870.4,1300.2,,,1770.22,2850.5,1130.75
05-27,,,30.45,50.86,70.16,90.01,,,530.27,240.32,550.24,650.62,,750.44,680.7,470.8,880.56,,,2070.01,1780.8,2910.09,1110.58
05-28,,0.62,30.29,50.86,70.01,,,680.39,530.65,240.19,540.62,,590.34,770.5,690.19,470.54,,,1970.0,2060.0,1850.5,2900.9,
05-29,0.56,0.61,30.13,50.75,,,340.78,650.74,530.2,240.66,,,610.99,750.99,680.78,480.25,,1300.5,1940.59,2050.73,1810.6,,
05-30,0.57,0.61,30.1,50.66,,90.0,350.33,640.47,540.06,,,650.22,600.42,760.99,680.65,,890.83,1290.49,1940.68,2050.75,,,1110.84
05-31,0.57,0.61,30.11,,70.0,90.18,350.98,680.39,,,550.72,650.96,600.73,720.43,,,910.5,1240.69,1960.32,2050.51,,2910.82,1110.61
06-01,0.61,0.62,,,60.96,90.14,370.16,700.59,,270.0,560.23,650.45,560.36,,,480.03,900.86,1250.34,1950.41,,1840.0,2930.0,1130.19
06-02,0.61,,,50.59,70.1,90.12,380.6,,530.18,300.55,560.14,650.46,,,700.35,490.2,910.25,1260.95,,,1920.5,2950.0,1120.11
06-03,,,30.12,50.8,70.21,90.1,,,520.4,260.62,560.76,690.42,,710.53,700.46,480.11,900.24,,,2110.3,1980.99,2920.7,1120.02
06-04,,0.63,30.08,60.08,70.09,,,700.4,510.37,270.99,540.87,,550.24,710.78,710.91,470.64,,,1960.91,2090.21,1930.1,2910.64,1100.77
06-05,0.61,0.65,30.13,50.96,,,370.63,710.58,510.96,290.93,,,550.5,700.68,720.1,470.85,,1240.46,1920.1,2110.0,2000.3,,1120.84
06-06,0.56,0.65,30.1,60.01,,90.09,350.37,700.98,510.45,,,710.1,560.31,710.98,720.89,,920.14,1220.98,1920.75,2160.33,,,1130.7
06-07,0.63,0.64,30.05,,70.2,90.05,350.72,690.79,,,550.18,720.25,570.66,730.39,,,970.21,1230.78,1940.24,2190.6,,2940.81,1130.0
06-08,0.63,0.61,,,70.2,90.64,320.74,700.35,,290.18,540.66,730.48,560.68,,,470.56,970.44,1220.4,1890.32,,2000.5,2930.8,1150.14
06-09,0.63,,,60.01,70.17,90.6,320.56,,500.73,300.0,550.32,740.1,,,730.4,470.31,970.78,1220.25,1890.21,,1980.45,2940.25,1130.94
