,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
03-25,,,600.95,600.96,1300.43,1700.39,,,1100.32,800.55,1600.29,1600.64,,2000.9,2400.48,4200.6,4400.12,,,3900.93,3500.4,4000.775,3500.82
03-26,,300.28,600.98,600.85,1300.61,,,2100.14,1100.14,800.49,1600.18,,2100.64,2100.0,2500.01,4100.62,,,2900.53,4000.1,3500.895,4100.535,
03-27,200.72,300.23,600.75,600.83,,,3100.94,2000.78,1100.42,800.48,,,2100.53,2100.35,2400.74,4100.7,,3200.66,2900.58,4000.14,3500.405,,
03-28,200.56,300.18,600.84,600.82,,1600.6,3100.05,2100.35,1100.51,,,1600.77,2000.6,2100.55,2400.87,,4400.29,3300.4,2900.165,4000.4,,,3500.005
03-29,200.65,300.04,600.89,,1300.8,1600.33,3100.24,2100.99,,,1600.46,1600.67,2000.63,2100.65,,,4400.51,3200.79,2900.585,4000.98,,4100.795,3600.4
03-30,200.55,300.08,,,1300.8,1600.29,3200.31,2100.6,,800.18,1600.4,1700.05,2000.77,,,4300.25,4400.45,3200.63,2900.585,,3700.0,4100.5,3600.65
03-31,200.74,,,600.67,1300.87,1600.48,3200.42,,1100.59,800.33,1600.51,1700.27,,,2500.45,4400.5,4400.96,3200.19,,,3700.6,4200.0,3600.75
04-01,,,600.8,600.68,1300.86,1700.03,,,1100.89,800.56,1700.0,1700.49,,2100.81,2500.75,4500.35,4400.9,,,4100.7,3700.8,4200.45,3600.5
04-02,,200.95,600.68,600.67,1400.1,,,2100.4,1100.93,900.0,1700.07,,2000.8,2100.76,2500.79,4700.5,,,2900.475,4100.06,3800.9,4200.555,
04-03,200.7,200.87,600.56,600.7,,,3300.19,2000.74,1100.69,800.96,,,2100.04,2200.47,2500.69,4600.85,,3200.01,2900.205,4000.7,3800.6,,
04-04,200.76,200.81,600.5,600.69,,1600.8,3300.33,2000.3,1100.79,,,1700.4,2000.22,2100.95,2500.76,,4500.04,3200.31,2900.205,4000.835,,,3600.195
04-05,200.65,300.04,600.53,,1400.18,1600.89,3300.81,2000.21,,,1700.05,1700.5,2000.02,2200.08,,,4400.99,3200.62,2900.53,4000.515,,4200.55,3500.3
04-06,200.74,200.93,,,1300.81,1700.2,3400.03,2000.28,,800.79,1700.03,1700.46,1900.61,,,4600.5,4400.74,3200.86,2900.565,,3800.86,4200.7,3500.11
04-07,300.06,,,600.68,1300.98,1700.02,3400.96,,1100.98,800.84,1700.02,1700.35,,,2500.15,4600.0,4400.55,3300.05,,,3700.47,4200.9,3400.575
04-08,,,600.53,600.74,1400.18,1700.31,,,1100.77,900.01,1600.91,1700.37,,2200.18,2500.23,4500.9,4400.21,,,4000.6,3800.7,4200.6,3400.1
04-09,,200.91,600.78,600.83,1400.03,,,2000.44,1100.81,900.21,1600.94,,1900.74,2200.23,2500.46,4500.2,,,2800.585,4000.53,3800.255,4200.25,
04-10,300.42,200.83,600.8,700.15,,,3500.51,2000.77,1100.82,900.21,,,1900.37,2200.3,2500.78,4400.18,,3200.13,2900.635,4000.455,3800.13,,
04-11,300.47,200.88,600.6,700.52,,1600.89,3500.31,2000.64,1100.56,,,1700.09,1900.6,2100.73,2500.4,,4300.73,3100.4,3000.6,4000.45,,,3400.4
04-12,300.57,200.89,600.63,,1300.93,1600.71,3500.81,2000.3,,,1700.0,1600.73,1900.5,2100.51,,,4300.3,3000.18,3000.32,4000.42,,4200.5,3300.955
04-13,300.49,200.9,,,1300.49,1600.7,3500.29,2000.56,,900.08,1600.98,1600.88,1900.87,,,4400.0,4300.43,3000.9,3000.125,,3700.65,4200.65,3400.28
04-14,300.54,,,700.55,1300.08,1600.17,3600.06,,1100.39,900.12,1700.48,1600.54,,,2500.07,4300.0,4300.85,2900.9,,,3700.755,4200.6,3300.88
04-15,,,600.63,700.68,1300.38,1500.81,,,1100.48,900.19,1700.41,1600.42,,2000.8,2400.59,4200.49,4300.8,,,4000.12,3600.75,4200.75,3300.545
04-16,,200.87,600.7,700.51,1300.02,,,2000.72,1100.65,900.21,1600.99,,1900.9,2000.63,2400.9,4200.45,,,2900.365,3900.9,3600.555,4200.63,
04-17,300.3,200.83,600.69,700.89,,,3600.53,2000.36,1100.69,900.39,,,1900.39,2000.71,2400.35,4100.0,,3000.18,2900.875,3900.88,3600.995,,
04-18,300.3,200.9,600.77,800.2,,1500.33,3600.78,2000.06,1100.81,,,1500.4,1900.04,2100.27,2400.85,,4300.43,2900.57,3000.08,3900.73,,,3200.93
04-19,300.31,200.97,600.82,,1300.48,1500.51,3700.04,1900.6,,,1600.78,1500.99,1900.42,2100.2,,,4300.19,2900.42,3000.105,3900.9,,4200.615,3200.06
04-20,300.5,200.88,,,1300.5,1500.62,3700.27,2000.21,,900.06,1600.83,1600.43,2000.13,,,4100.65,4300.28,2900.0,3000.485,,3700.57,4300.35,3200.61
04-21,300.7,,,900.27,1200.72,1500.51,3700.37,,1100.7,900.09,1600.79,1600.28,,,2400.7,4100.46,4200.45,2900.5,,,3700.05,4300.545,3200.805
04-22,,,600.66,800.62,1200.47,1500.3,,,1100.66,900.25,1600.46,1600.44,,2000.72,2400.5,4100.0,4200.7,,,3900.965,3700.115,4300.55,3200.575
04-23,,200.81,600.77,800.4,1200.51,,,2000.01,1100.75,900.53,1600.55,,1900.85,2000.55,2400.43,3900.3,,,3000.41,3900.4,3700.1,4300.035,
04-24,300.55,200.85,600.8,800.22,,,3700.11,2000.75,1100.5,900.88,,,1900.6,2000.88,2400.4,3900.79,,2900.5,3000.335,3900.25,3600.85,,
04-25,300.75,200.88,600.77,800.53,,1500.49,3600.27,2100.13,1100.49,,,1600.16,1900.49,2100.29,2400.1,,4300.0,3000.5,3000.34,3900.885,,,3200.0
04-26,300.82,300.03,700.05,,1200.42,1500.44,3600.54,2000.69,,,1600.58,1600.21,1900.05,2100.72,,,4300.1,3100.38,3100.035,3900.735,,4300.145,3200.41
04-27,300.89,300.18,,,1200.24,1500.54,3500.78,2000.19,,900.77,1600.4,1500.99,1900.49,,,3900.63,4200.95,3100.3,3100.44,,3600.415,4300.215,3300.7
04-28,400.06,,,800.9,1200.49,1500.52,3600.34,,1100.52,900.73,1600.15,1500.98,,,2400.31,3900.38,4200.7,3000.51,3000.72,,3600.41,4200.825,3300.12
04-29,,,600.85,700.9,1100.9,1500.71,,,1100.44,900.97,1600.15,1600.01,,2100.7,2400.77,3900.27,4200.0,,,3900.26,3600.665,4200.99,3300.275
04-30,,300.14,600.79,700.2,1200.48,,,2000.42,1100.45,1000.19,1500.67,,1900.56,2100.84,2400.8,3800.85,,,3100.015,3900.165,3600.34,4200.845,
05-01,400.06,300.14,600.79,700.2,,,3600.34,2000.42,1100.45,1000.19,,,1900.56,2100.84,2400.8,3800.85,,3000.51,,,,,
05-02,400.06,300.14,600.79,700.2,,1500.71,3700.42,2000.09,1100.45,,,1600.01,1900.39,2000.9,2400.67,,4200.0,3000.58,3100.215,3900.14,,,
05-03,400.06,300.26,600.79,,1200.48,1500.63,3700.09,2000.07,,,1500.67,1500.64,1900.1,2100.35,,,4200.0,3000.98,3100.28,3900.645,,,
05-04,400.05,300.44,,,1200.48,1500.47,3700.28,1900.81,,1000.75,1500.53,1500.41,1800.32,,,3800.85,4000.98,3100.86,3100.13,,3600.27,4300.11,3200.27
05-05,400.15,,,700.57,1300.04,1500.4,3700.62,,1100.53,1000.63,1500.4,1500.5,,,2400.83,4100.36,4000.71,3100.6,,,3600.155,4300.24,3200.085
05-06,,,600.67,700.6,1200.98,1500.3,,,1100.46,1000.68,1500.36,1500.92,,2100.77,2500.07,4100.59,4000.98,,,3900.25,3500.89,4300.69,3100.995
05-07,,300.6,600.51,700.42,1200.19,,,1900.85,1100.75,1000.81,1400.42,,1800.27,2100.83,2500.27,4100.0,,,3100.31,3900.46,3500.79,4300.98,
05-08,400.28,300.72,600.69,700.44,,,3700.96,1900.85,1200.16,1000.88,,,1700.96,2100.8,2500.05,4000.9,,3100.6,3100.31,3900.25,3500.82,,
05-09,400.28,300.72,600.69,700.44,,1500.3,3700.96,1900.85,1200.16,,,1500.92,1700.96,2100.8,2500.05,,4000.98,3100.6,,,,,
