,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
04-24,,,,,,,2860.45,2570.89,3110.72,1490.71,,,1630.87,1240.51,1260.69,1530.89,,1280.0,1450.51,1600.57,1850.71,,
04-25,,,,,,,2850.61,2600.54,3130.99,,,2330.85,1650.1,1220.9,1250.4,,1600.3,1300.2,1420.29,1590.31,,,2060.35
04-26,,,,,,,3080.48,2600.27,,,1770.85,2320.52,1640.13,1220.5,,,1630.0,1330.43,1450.16,1610.0,,2330.04,2250.85
04-27,,,,,,,3050.26,2540.86,,1450.18,1750.54,2310.79,1680.66,,,1520.05,1600.99,1330.41,1450.09,,1860.29,2310.75,2370.15
04-28,,,,,,,3090.98,,3140.35,1420.7,1700.51,2310.94,,,1280.12,1520.79,1640.75,1360.75,1440.45,,1880.5,2320.17,2370.53
04-29,,,,,,,,,3120.13,1480.69,1740.45,2310.6,,1220.36,1280.3,1520.5,1680.47,,,1630.93,1930.87,2290.62,2400.4
04-30,,,,,,,,2570.23,3120.55,1480.07,1700.33,,1690.17,1240.15,1280.77,1530.5,,,1450.58,1630.95,1900.0,2300.1,
05-01,,,,,,,3090.98,2570.23,3120.55,1480.07,,,1690.17,1240.15,1280.77,1530.5,,1360.75,,,,,
05-02,,,,,,,3200.66,2540.23,3120.55,,,2310.6,1670.34,1230.28,1270.0,,1680.47,1360.52,1440.89,1650.71,,,
05-03,,,,,,,3220.18,2540.13,,,1700.33,2210.7,1690.1,1280.68,,,1680.47,1350.81,1440.97,1660.31,,,
05-04,,,,,,,3310.12,2540.41,,1540.96,1640.25,2120.47,1620.66,,,1530.5,1620.4,1340.93,1430.1,,1850.7,2330.05,2340.16
05-05,,,,,,,3360.12,,3140.02,1610.17,1630.63,2080.71,,,1260.0,1560.33,1600.5,1340.41,,,1900.0,2370.0,2380.6
05-06,,,,,,,,,3160.27,1700.12,1640.14,2110.74,,1290.34,1290.49,1550.25,1590.27,,,1650.45,1870.05,2400.65,2400.1
05-07,,,,,,,,2540.25,3290.99,1710.55,1550.12,,1650.6,1300.49,1340.1,1520.1,,,1440.16,1640.21,1850.85,2410.51,
05-08,,,,,,,3500.03,2510.0,3490.73,1730.18,,,1640.94,1310.86,1350.63,1550.52,,1340.41,1440.65,1630.57,1850.34,,
05-09,,,,,,,3500.03,2510.0,3490.73,,,2110.74,1640.94,1310.86,1350.63,,1590.27,1340.41,,,,,
05-10,,,,,,,3320.53,2480.19,,,1550.12,2140.27,1650.49,1320.6,,,1560.85,1340.19,1460.37,1630.61,,2420.51,
05-11,,,,,,,3310.04,2430.42,,1730.18,1590.91,2100.19,1580.02,,,1550.52,1590.45,1310.1,1480.7,,,2420.03,2410.99
05-12,,,,,,,3210.3,,3490.4,1780.72,1660.02,2030.61,,,1350.71,1540.2,1590.03,1320.5,,,1860.17,2440.1,2300.56
05-13,,,,,,,,,3490.77,1670.84,1630.03,2010.76,,1290.61,1380.46,1510.74,1590.85,,,1630.0,1840.2,2460.05,2350.52
05-14,,,,,,,,2430.21,3590.13,1650.04,1590.44,,1490.66,1250.5,1390.87,1510.8,,,1490.96,1890.67,1830.91,2480.79,
05-15,,,,,,,3010.54,2380.07,3520.02,1660.21,,,1480.25,1220.47,1410.15,1520.98,,1310.5,1480.65,1950.61,1830.85,,
05-16,,,,,,,3070.04,2450.32,3650.56,,,1980.48,1460.08,1220.79,1440.29,,1580.07,1310.13,1490.83,2020.7,,,2440.2
05-17,,,,,,,2930.12,2430.67,,,1610.12,1980.91,1420.58,1250.59,,,1530.58,1320.07,1480.41,1980.89,,2520.0,2580.8
05-18,,,,,,,2830.69,2480.49,,1690.78,1620.94,2020.54,1380.47,,,1510.9,1520.1,1260.9,1460.39,,1920.5,2570.23,2640.84
05-19,,,,,,,2750.36,,3670.54,1760.0,1570.72,2010.6,,,1480.05,1490.85,1480.33,1240.19,,,1940.2,2580.5,2660.68
05-20,,,,,,,,,3610.33,1830.22,1500.65,1970.21,,1260.34,1450.35,1460.35,1460.7,,,2000.8,1960.74,2580.85,2630.0
05-21,,,,,,,,2470.2,3650.35,1700.9,1500.04,,1420.02,1260.48,1460.58,1470.16,,,1470.88,2070.8,1940.74,2580.4,
05-22,,,,,,,2360.42,2470.36,3570.07,1740.05,,,1430.43,1270.22,1440.78,1480.8,,1220.52,1470.09,2080.1,1940.35,,
05-23,,,,,,,2650.83,2410.59,3620.39,,,1900.34,1380.5,1210.65,1440.3,,1440.31,1230.23,1450.91,2080.86,,,2630.0
05-24,,,,,,,2580.11,2370.6,,,1500.98,1950.45,1420.11,1190.87,,,1460.35,1220.0,1450.22,2040.5,,2580.8,2650.8
05-25,,,,,,,2730.75,2380.63,,1700.78,1420.84,1960.65,1420.97,,,1460.69,1460.55,1210.61,1440.67,,1970.55,2600.0,2710.4
05-26,,,,,,,2910.53,,3600.72,1690.89,1570.6,1950.08,,,1450.8,1450.25,1480.87,1220.2,,,1960.86,2610.85,2950.89
05-27,,,,,,,,,3540.08,1710.71,1580.54,2010.75,,1190.66,1420.4,1470.66,1490.88,,,2060.2,1940.73,2610.98,2940.5
05-28,,,,,,,,2340.48,3540.71,1720.48,1570.85,,1440.5,1210.19,1410.3,1460.11,,,1450.2,2030.13,1960.86,2620.06,2920.47
05-29,,,,,,,2860.59,2280.48,3600.6,1780.37,,,1480.59,1180.84,1440.2,1390.0,,1230.11,1430.78,2070.14,1990.95,,2940.36
05-30,,,,,,,2830.08,2270.36,3600.13,,,2030.82,1480.01,1190.75,1410.7,,1490.6,1220.1,1430.47,2130.1,,,3000.8
05-31,,,,,,,2860.02,2350.57,,,1600.01,2040.56,1470.23,1220.45,,,1450.5,1200.28,1440.66,2150.1,,2600.45,2930.75
06-01,,,,,,,2860.94,2440.85,,1910.35,1590.76,2030.83,1480.39,,,1390.4,1440.7,1180.0,1450.18,,1980.72,2640.31,2970.69
06-02,,,,,,,2990.19,,3560.53,1900.83,1630.93,2010.36,,,1440.11,1400.75,1440.0,1190.69,,,2010.97,2700.79,2960.0
06-03,,,,,,,,,3540.21,1750.15,1650.08,1960.42,,1200.56,1440.19,1400.71,1430.41,,,2350.51,2080.0,2710.6,2970.0
06-04,,,,,,,,2460.08,3410.18,1760.16,1630.45,,1510.53,1190.59,1440.04,1400.2,,,1450.83,2300.16,2010.46,2730.51,2960.53
06-05,,,,,,,2960.8,2470.2,3400.55,1810.81,,,1500.32,1180.22,1420.75,1420.4,,1190.0,1450.35,2300.01,2030.05,,2970.33
06-06,,,,,,,2780.22,2440.65,3440.78,,,1950.84,1500.34,1160.85,1430.97,,1460.4,1190.05,1460.81,2310.45,,,2960.5
06-07,,,,,,,2770.76,2410.25,,,1600.65,2040.65,1510.65,1170.03,,,1470.75,1180.92,1460.84,2300.5,,2750.42,2970.99
06-08,,,,,,,2540.29,2410.43,,1770.03,1570.52,2070.15,1510.36,,,1420.66,1460.95,1190.3,1430.05,,2040.91,2740.18,3080.0
06-09,,,,,,,2540.41,,3390.76,1770.19,1580.04,2120.03,,,1440.4,1460.17,1440.98,1200.5,1440.08,,2040.84,2760.19,3060.5
06-10,,,,,,,,,3340.42,1810.5,1570.68,2090.17,,1160.4,1440.75,1450.6,1420.44,,,2320.1,2010.75,2750.83,3090.2
06-11,,,,,,,,2420.74,3420.17,1830.32,1560.41,,1520.0,1110.93,1460.4,1450.4,,,1420.28,2340.86,1960.74,2760.5,3110.22
06-12,,,,,,,2540.41,2420.74,3420.17,1830.32,,,1520.0,1110.93,1460.4,1450.4,,1200.5,,,,,3110.74
06-13,,,,,,,2270.95,2460.11,3420.17,,,2090.17,1520.02,1100.14,1460.4,,1420.44,1180.15,1410.0,2340.44,,,3070.17
06-14,,,,,,,2420.43,2560.79,,,1560.41,2080.62,1520.05,1090.91,,,1410.84,1150.35,1390.4,2310.51,,2790.33,3170.69
06-15,,,,,,,2570.42,2640.51,,1730.85,1590.66,2050.98,1560.33,,,1440.95,1410.57,1150.49,1370.73,,1940.2,2720.8,3160.2
06-16,,,,,,,2570.29,,3460.09,1760.41,1580.53,2040.46,,,1450.2,1460.0,1390.5,1160.02,,,1960.59,2720.37,3160.99
06-17,,,,,,,,,3510.05,1620.45,1560.65,2000.82,,1110.45,1440.77,1470.6,1390.32,,,2290.81,1950.86,2730.5,3150.5
06-18,,,,,,,,2650.58,3510.07,1580.91,1590.22,,1570.82,1130.05,1450.0,1470.15,,,1360.52,2320.13,1930.0,2710.35,3160.05
06-19,,,,,,,2610.04,2640.52,3510.35,1620.45,,,1580.89,1110.12,1450.2,1470.15,,1170.33,1350.5,2320.46,1950.81,,3160.59
06-20,,,,,,,2620.8,2680.04,3460.82,,,1990.26,1570.65,1080.36,1450.6,,1420.97,1170.44,1360.91,2320.52,,,3110.98
06-21,,,,,,,2630.94,2630.14,,,1620.52,2010.03,1560.1,1080.05,,,1430.54,1170.97,1340.4,2290.09,,2700.75,3010.58
06-22,,,,,,,2600.74,2620.64,,1500.49,1590.32,2020.56,1540.94,,,1480.5,1430.0,1190.55,1360.76,,1930.9,2750.75,2950.8
06-23,,,,,,,2590.9,,3430.89,1430.46,1580.06,1960.07,,,1470.17,1460.25,1440.2,1190.1,,,1950.3,2770.31,3030.5
06-24,,,,,,,,,3380.79,1540.47,1540.82,1990.24,,1070.17,1530.25,1460.68,1410.25,,,2320.38,,2760.8,2960.0
06-25,,,,,,,,2590.85,3390.68,1480.99,1520.21,,1510.17,1080.89,1490.26,1430.7,,,1370.1,2320.09,1900.59,2770.19,2970.48
06-26,,,,,,,2570.51,2610.96,3360.94,1500.5,,,1510.25,1100.12,1470.44,1450.18,,1180.67,1380.07,2330.1,1930.11,,2960.69
06-27,,,,,,,2650.16,2590.6,3410.21,,,1960.27,1530.88,1070.75,1490.39,,1380.52,1190.35,1390.0,2320.6,,,2960.2
06-28,,,,,,,2660.65,2640.75,,,1530.73,1980.74,1500.69,1080.85,,,1390.24,1190.7,1380.76,2320.83,,2760.99,2970.2
06-29,,,,,,,2750.83,2670.43,,1570.36,1490.87,2010.46,1530.85,,,1430.59,1400.0,1190.16,1410.01,,1970.64,2760.8,2970.65
06-30,,,,,,,2800.17,,3410.1,1560.05,1490.37,2030.87,,,1480.96,1450.85,1390.51,1180.49,,,1930.24,2810.8,2070.0
07-01,,,,,,,,,3270.56,1650.95,1430.27,2050.04,,1080.98,1480.97,1450.5,1400.05,,,2450.5,,2850.74,1920.5
07-02,,,,,,,,2710.99,3230.8,1570.65,1470.99,,1550.31,1090.29,1510.95,1450.8,,,1440.0,2460.65,1950.65,2850.65,1930.94
