,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
04-25,,,,,,36.0,115.82,143.59,178.76,,,374.05,376.08,296.98,333.0,,607.1,696.8,738.5,1187.0,,,967.2
04-26,,,,,,36.0,118.98,143.55,,,203.32,371.69,375.75,295.43,,,610.9,709.5,753.8,1218.4,,1411.0,1049.0
04-27,,,,,,36.0,116.52,137.63,,108.02,199.71,361.33,381.18,,,496.4,613.0,697.1,761.1,,993.8,1409.4,1092.0
04-28,,,,,,34.5,116.0,,182.23,105.48,195.04,365.49,,,338.0,495.4,638.1,695.4,764.6,,1034.2,1388.0,1065.0
04-29,,,,,,34.5,,,180.08,111.55,198.81,357.81,,289.96,342.74,499.0,612.8,,,1205.2,1040.2,1393.4,1076.0
04-30,,,,,,,,139.1,180.59,108.6,197.97,,378.58,291.38,341.4,494.0,,,766.9,1205.2,1037.2,1358.0,
05-01,,,,,,,116.0,139.1,180.59,108.6,,,378.58,291.38,341.4,494.0,,695.4,,,,,
05-02,,,,,,34.5,118.0,134.52,180.59,,,357.81,340.85,291.42,341.54,,612.8,695.7,763.1,1207.2,,,
05-03,,,,,,35.45,115.0,136.03,,,197.97,351.83,328.52,302.82,,,612.8,687.4,757.0,1199.8,,,
05-04,,,,,,35.45,115.04,139.19,,111.69,190.32,346.91,314.92,,,494.0,623.0,693.0,758.5,,1030.0,1399.6,1007.0
05-05,,,,,,35.45,116.25,,182.15,114.26,183.09,342.93,,,338.5,501.0,611.1,696.0,,,1059.8,1420.2,1009.2
05-06,,,,,,35.45,,,181.39,117.33,179.98,353.55,,302.54,346.94,490.6,618.9,,,1199.8,1060.0,1409.2,989.0
05-07,,,,,,,,139.99,192.18,117.66,168.38,,317.78,313.76,369.99,490.0,,,752.9,1205.8,1028.0,1415.8,
05-08,,,,,,,118.73,137.56,199.47,118.99,,,316.22,314.99,365.0,502.7,,696.0,756.8,1203.0,1032.0,,
05-09,,,,,,35.45,118.73,137.56,199.47,,,353.55,316.22,314.99,365.0,,618.9,696.0,,,,,
05-10,,,,,,35.45,116.0,134.62,,,168.38,359.53,333.52,310.44,,,623.9,692.0,760.9,1200.0,,1416.2,
05-11,,,,,,36.08,114.5,131.98,,118.99,176.83,353.14,330.68,,,502.7,628.8,682.9,776.5,,,1410.6,989.6
05-12,,,,,,36.04,113.96,,200.85,123.77,189.26,346.76,,,368.5,502.7,620.3,677.0,,,1028.0,1397.0,956.0
